Email;AccountType
abc@abc.com;Guest
efg@efg.com;Owner
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
abc@abc.com;Guest
